2011-06-03 12:47:49.907123
location	title	price	value	numBought	url
el-paso	Lone Star Outlaws	30	60	4	http://www.groupon.com/deals/lone-star-outlaws-el-paso?c=all&amp;p=1
edmonton	C$15 for C$30 at Masala Wok	15	30	180	http://www.groupon.com/deals/masala-wok-edmonton?c=all&amp;p=1
edmonton	Peaches &amp; Cream Spa	75	150	168	http://www.groupon.com/deals/peaches-and-cream-spa-edmonton?c=all&amp;p=1
madison	$25 for $50 at Samba Brazilian Grill	25	50	2331	http://www.groupon.com/deals/samba-brazilian-grill-madison-1?c=all&amp;p=1
madison	Anasazi Medical Spa	75	400	60	http://www.groupon.com/deals/anasazi-medical-spa?c=all&amp;p=1
madison	Dimensions Gallery &amp; Framing	45	100	69	http://www.groupon.com/deals/dimension-gallery-and-framing?c=all&amp;p=1
tallahassee	$17 for $34 at Panama City Beach Winery	17	34	37	http://www.groupon.com/deals/panama-city-beach-winery?c=all&amp;p=1
tallahassee	DiapersDirect.com	25	50	10	http://www.groupon.com/deals/diapers-direct-tallahassee?c=all&amp;p=1
tallahassee	Performing Arts Studio of Tallahassee	99	200	2	http://www.groupon.com/deals/the-acting-studio-pact-tallahassee?c=all&amp;p=1
tallahassee	La Spa	100	200	2	http://www.groupon.com/deals/la-spa-tallahassee?c=all&amp;p=1
tampa-bay-area	$11 for $23 at The Tropics Boat Tours	11	23	317	http://www.groupon.com/deals/the-tropics-boat-tours-3?c=all&amp;p=1
tampa-bay-area	Flow Yoga	30	60	4	http://www.groupon.com/deals/flow-yoga-tampa?c=all&amp;p=1
tampa-bay-area	Gaylord Palms Resort	189	588	68	http://www.groupon.com/deals/gaylord-palms-resort-tampa?c=all&amp;p=1
tampa-bay-area	Magnolia Inn Bed &amp; Breakfast	109	250	7	http://www.groupon.com/deals/magnolia-inn-tampa?c=all&amp;p=1
tampa-bay-area	South Beach Tanning Company	25	80	108	http://www.groupon.com/deals/south-beach-tanning-company?c=all&amp;p=1
tampa-bay-area	Fish Tales Seafood &amp; Steak House	15	30	795	http://www.groupon.com/deals/fish-tales-seafood-house?c=all&amp;p=1
tampa-bay-area	HorsePower for Kids	25	50	664	http://www.groupon.com/deals/horse-power-for-kids?c=all&amp;p=1
tampa-bay-area	ReFlex Arts	49	105	73	http://www.groupon.com/deals/reflex-arts-tampa?c=all&amp;p=1
tampa-bay-area	Victorian Village	10	20	536	http://www.groupon.com/deals/victorian-village?c=all&amp;p=1
tampa-bay-area	Def Leppard	20	57	1380	http://www.groupon.com/deals/def-leppard-ask-gary?c=all&amp;p=1
tampa-bay-area	Premiere Center for Cosmetic Surgery	449	1320	20	http://www.groupon.com/deals/premiere-center-for-cosmetic-surgery?c=all&amp;p=1
abbotsford	C$139 for C$675 at Laser Health Centre	139	675	35	http://www.groupon.com/deals/laser-health-centre-lhc?c=all&amp;p=1
abbotsford	Valley Sports Zone	49	152	51	http://www.groupon.com/deals/valley-sports-zone?c=all&amp;p=1
birmingham	$35 for $150 at Laser Aesthetics	35	150	247	http://www.groupon.com/deals/laser-aesthetics?c=all&amp;p=1
birmingham	Opus	25	50	125	http://www.groupon.com/deals/opus-restaurant-birmingham?c=all&amp;p=1
birmingham	Ginn’s Art and the Color Palette Studio	12	25	28	http://www.groupon.com/deals/bama-girlz-birmingham?c=all&amp;p=1
birmingham	Bikram Yoga Birmingham	20	100	538	http://www.groupon.com/deals/bikram-yoga-birmingham?c=all&amp;p=1
birmingham	Olin Marler's Charter Fishing &amp; Dolphin Cruises	6	13	240	http://www.groupon.com/deals/olin-marlers-birmingham?c=all&amp;p=1
birmingham	Timberview Helicopters	149	315	0	http://www.groupon.com/deals/timberview-helicopters-1?c=all&amp;p=1
milwaukee	$10 for $20 at Lucky's Irish Pub and Grill	10	20	279	http://www.groupon.com/deals/luckys-irish-pub-and-grill?c=all&amp;p=1
milwaukee	Barclay's Wine	25	75	109	http://www.groupon.com/deals/barclays-wine-milwaukee-3?c=all&amp;p=1
milwaukee	Core Essence Yoga	15	75	960	http://www.groupon.com/deals/core-essence-yoga?c=all&amp;p=1
milwaukee	Victory Lane Full Service Car Wash	20	40	239	http://www.groupon.com/deals/victory-lane-car-wash?c=all&amp;p=1
santa-barbara	$50 for $100 at Santa Barbara Premiere Catering	50	100	7	http://www.groupon.com/deals/santa-barbara-premiere-catering?c=all&amp;p=1
santa-barbara	Paesano's Pizzeria	5	10	263	http://www.groupon.com/deals/paesanos-pizzeria?c=all&amp;p=1
santa-barbara	Brows to Brazilian	22	45	184	http://www.groupon.com/deals/brows-to-brazilian?c=all&amp;p=1
oklahoma-city	$6 for $12 at Studio Zen	6	12	54	http://www.groupon.com/deals/studio-zen?c=all&amp;p=1
oklahoma-city	TSO Optical	50	119	21	http://www.groupon.com/deals/tso-optical?c=all&amp;p=1
oklahoma-city	Pink Sugar Shoe Boutique	25	50	208	http://www.groupon.com/deals/pink-sugar-shoe-boutique?c=all&amp;p=1
oklahoma-city	Popcorn Fharmacy	7	15	155	http://www.groupon.com/deals/popcorn-fharmacy-1?c=all&amp;p=1
oklahoma-city	Renaissance Salon &amp; Day Spa	25	50	133	http://www.groupon.com/deals/renaissance-salon-day-spa?c=all&amp;p=1
baton-rouge	$25 for $50 at Texas de Brazil	25	50	844	http://www.groupon.com/deals/texas-de-brazil-baton-rouge?c=all&amp;p=1
baton-rouge	Geaux CrossFit	49	150	51	http://www.groupon.com/deals/geaux-crossfit-1?c=all&amp;p=1
baton-rouge	Mary Kay Independent Consultant Carolyn Long	15	30	5	http://www.groupon.com/deals/mary-kay-baton-rouge?c=all&amp;p=1
cedar-rapids-iowa-city	$27 for $54 at Riverside Theatre	27	54	61	http://www.groupon.com/deals/riverside-theatre?c=all&amp;p=1
cedar-rapids-iowa-city	ActivEdge Fitness Club	49	174	12	http://www.groupon.com/deals/activedge-fitness-club?c=all&amp;p=1
cedar-rapids-iowa-city	Big Fish Games	3	10	51	http://www.groupon.com/deals/big-fish-games-cedar-rapids?c=all&amp;p=1
cedar-rapids-iowa-city	David Greedy Photography	50	155	15	http://www.groupon.com/deals/david-greedy-photography?c=all&amp;p=1
san-angelo	$64 for $129 at PhotoWeavers	64	129	3	http://www.groupon.com/deals/photoweavers-san-angelo?c=all&amp;p=1
san-angelo	Bandals Footwear	30	75	8	http://www.groupon.com/deals/bandals-san-angelo?c=all&amp;p=1
san-angelo	Baby Genius	25	49	8	http://www.groupon.com/deals/baby-genius-san-angelo?c=all&amp;p=1
san-diego	$40 for $100 at Afterglow Tan &amp; Spa	40	100	33	http://www.groupon.com/deals/afterglow-tan-and-spa?c=all&amp;p=1
san-diego	Fancy Fortune Cookies	15	35	19	http://www.groupon.com/deals/fancy-fortune-cookies-in-san-diego?c=all&amp;p=1
